Using mps device
Training - Epoch 1/50, Loss: 1.1892, Accuracy: 58.6161%
Testing - Epoch 1/50, Loss: 0.6865, Accuracy: 78.7500%
Training - Epoch 2/50, Loss: 0.6362, Accuracy: 79.1071%
Testing - Epoch 2/50, Loss: 0.5786, Accuracy: 80.8929%
Training - Epoch 3/50, Loss: 0.5499, Accuracy: 81.2054%
Testing - Epoch 3/50, Loss: 0.5211, Accuracy: 82.3214%
Training - Epoch 4/50, Loss: 0.4797, Accuracy: 84.1071%
Testing - Epoch 4/50, Loss: 0.5082, Accuracy: 82.5000%
Training - Epoch 5/50, Loss: 0.4261, Accuracy: 85.7589%
Testing - Epoch 5/50, Loss: 0.4642, Accuracy: 81.4286%
Training - Epoch 6/50, Loss: 0.4063, Accuracy: 85.7143%
Testing - Epoch 6/50, Loss: 0.4662, Accuracy: 83.2143%
Training - Epoch 7/50, Loss: 0.3915, Accuracy: 87.0089%
Testing - Epoch 7/50, Loss: 0.4434, Accuracy: 82.5000%
Training - Epoch 8/50, Loss: 0.3670, Accuracy: 87.6339%
Testing - Epoch 8/50, Loss: 0.4528, Accuracy: 85.0000%
Training - Epoch 9/50, Loss: 0.3697, Accuracy: 87.0982%
Testing - Epoch 9/50, Loss: 0.4339, Accuracy: 85.7143%
Training - Epoch 10/50, Loss: 0.3482, Accuracy: 88.4821%
Testing - Epoch 10/50, Loss: 0.4204, Accuracy: 85.0000%
Training - Epoch 11/50, Loss: 0.3447, Accuracy: 88.3482%
Testing - Epoch 11/50, Loss: 0.4336, Accuracy: 84.2857%
Training - Epoch 12/50, Loss: 0.3406, Accuracy: 88.6161%
Testing - Epoch 12/50, Loss: 0.4281, Accuracy: 84.4643%
Training - Epoch 13/50, Loss: 0.3021, Accuracy: 90.3571%
Testing - Epoch 13/50, Loss: 0.4235, Accuracy: 85.1786%
Training - Epoch 14/50, Loss: 0.3077, Accuracy: 89.5089%
Testing - Epoch 14/50, Loss: 0.4124, Accuracy: 84.6429%
Training - Epoch 15/50, Loss: 0.2965, Accuracy: 90.4464%
Testing - Epoch 15/50, Loss: 0.4106, Accuracy: 86.0714%
Training - Epoch 16/50, Loss: 0.2759, Accuracy: 91.4732%
Testing - Epoch 16/50, Loss: 0.4163, Accuracy: 85.8929%
Training - Epoch 17/50, Loss: 0.2871, Accuracy: 89.8214%
Testing - Epoch 17/50, Loss: 0.4247, Accuracy: 85.3571%
Training - Epoch 18/50, Loss: 0.2665, Accuracy: 91.2500%
Testing - Epoch 18/50, Loss: 0.4173, Accuracy: 85.5357%
Training - Epoch 19/50, Loss: 0.2684, Accuracy: 90.6250%
Testing - Epoch 19/50, Loss: 0.4397, Accuracy: 83.5714%
Training - Epoch 20/50, Loss: 0.2825, Accuracy: 90.4911%
Testing - Epoch 20/50, Loss: 0.4178, Accuracy: 85.0000%
Training - Epoch 21/50, Loss: 0.2658, Accuracy: 90.9375%
Testing - Epoch 21/50, Loss: 0.4110, Accuracy: 85.1786%
Training - Epoch 22/50, Loss: 0.2441, Accuracy: 92.0536%
Testing - Epoch 22/50, Loss: 0.3986, Accuracy: 85.7143%
Training - Epoch 23/50, Loss: 0.2527, Accuracy: 91.3839%
Testing - Epoch 23/50, Loss: 0.4009, Accuracy: 86.2500%
Training - Epoch 24/50, Loss: 0.2562, Accuracy: 91.6518%
Testing - Epoch 24/50, Loss: 0.4038, Accuracy: 85.8929%
Training - Epoch 25/50, Loss: 0.2401, Accuracy: 92.3214%
Testing - Epoch 25/50, Loss: 0.4003, Accuracy: 84.8214%
Training - Epoch 26/50, Loss: 0.2259, Accuracy: 93.0357%
Testing - Epoch 26/50, Loss: 0.4110, Accuracy: 85.8929%
Training - Epoch 27/50, Loss: 0.2360, Accuracy: 92.1429%
Testing - Epoch 27/50, Loss: 0.4146, Accuracy: 85.5357%
Training - Epoch 28/50, Loss: 0.2303, Accuracy: 92.4554%
Testing - Epoch 28/50, Loss: 0.4038, Accuracy: 85.3571%
Training - Epoch 29/50, Loss: 0.2333, Accuracy: 92.1875%
Testing - Epoch 29/50, Loss: 0.4086, Accuracy: 84.8214%
Training - Epoch 30/50, Loss: 0.2423, Accuracy: 91.5179%
Testing - Epoch 30/50, Loss: 0.4222, Accuracy: 85.5357%
Training - Epoch 31/50, Loss: 0.2131, Accuracy: 93.3036%
Testing - Epoch 31/50, Loss: 0.4004, Accuracy: 85.5357%
Training - Epoch 32/50, Loss: 0.2268, Accuracy: 93.1250%
Testing - Epoch 32/50, Loss: 0.4036, Accuracy: 85.0000%
Training - Epoch 33/50, Loss: 0.2267, Accuracy: 92.4554%
Testing - Epoch 33/50, Loss: 0.4015, Accuracy: 85.7143%
Training - Epoch 34/50, Loss: 0.2230, Accuracy: 92.4107%
Testing - Epoch 34/50, Loss: 0.4067, Accuracy: 85.5357%
Training - Epoch 35/50, Loss: 0.2189, Accuracy: 92.3661%
Testing - Epoch 35/50, Loss: 0.4162, Accuracy: 84.6429%
Training - Epoch 36/50, Loss: 0.2218, Accuracy: 92.5000%
Testing - Epoch 36/50, Loss: 0.4053, Accuracy: 85.1786%
Training - Epoch 37/50, Loss: 0.2160, Accuracy: 92.0536%
Testing - Epoch 37/50, Loss: 0.4144, Accuracy: 84.1071%
Training - Epoch 38/50, Loss: 0.2082, Accuracy: 93.1250%
Testing - Epoch 38/50, Loss: 0.4144, Accuracy: 86.0714%
Training - Epoch 39/50, Loss: 0.1973, Accuracy: 94.2411%
Testing - Epoch 39/50, Loss: 0.4007, Accuracy: 85.1786%
Training - Epoch 40/50, Loss: 0.2055, Accuracy: 93.3929%
Testing - Epoch 40/50, Loss: 0.4118, Accuracy: 85.0000%
Training - Epoch 41/50, Loss: 0.2198, Accuracy: 92.1875%
Testing - Epoch 41/50, Loss: 0.4049, Accuracy: 85.3571%
Training - Epoch 42/50, Loss: 0.2230, Accuracy: 92.5000%
Testing - Epoch 42/50, Loss: 0.3995, Accuracy: 85.5357%
Training - Epoch 43/50, Loss: 0.2059, Accuracy: 93.1250%
Testing - Epoch 43/50, Loss: 0.4000, Accuracy: 85.3571%
Training - Epoch 44/50, Loss: 0.2021, Accuracy: 93.0357%
Testing - Epoch 44/50, Loss: 0.4351, Accuracy: 85.0000%
Training - Epoch 45/50, Loss: 0.1922, Accuracy: 93.6607%
Testing - Epoch 45/50, Loss: 0.4219, Accuracy: 84.1071%
Training - Epoch 46/50, Loss: 0.2145, Accuracy: 92.0982%
Testing - Epoch 46/50, Loss: 0.4075, Accuracy: 85.1786%
Training - Epoch 47/50, Loss: 0.1977, Accuracy: 93.5268%
Testing - Epoch 47/50, Loss: 0.4139, Accuracy: 85.5357%
Training - Epoch 48/50, Loss: 0.1942, Accuracy: 93.4821%
Testing - Epoch 48/50, Loss: 0.4091, Accuracy: 84.2857%
Training - Epoch 49/50, Loss: 0.2014, Accuracy: 92.9911%
Testing - Epoch 49/50, Loss: 0.4195, Accuracy: 85.1786%
Training - Epoch 50/50, Loss: 0.1823, Accuracy: 94.3750%
Testing - Epoch 50/50, Loss: 0.4202, Accuracy: 84.4643%
Training complete.
Train: [58.61607142857142, 79.10714285714285, 81.20535714285714, 84.10714285714286, 85.75892857142857, 85.71428571428571, 87.00892857142857, 87.63392857142858, 87.09821428571428, 88.48214285714285, 88.34821428571429, 88.61607142857143, 90.35714285714286, 89.50892857142857, 90.44642857142857, 91.47321428571429, 89.82142857142857, 91.25, 90.625, 90.49107142857142, 90.9375, 92.05357142857142, 91.38392857142857, 91.65178571428572, 92.32142857142858, 93.03571428571429, 92.14285714285714, 92.45535714285714, 92.1875, 91.51785714285714, 93.30357142857143, 93.125, 92.45535714285714, 92.41071428571429, 92.36607142857143, 92.5, 92.05357142857142, 93.125, 94.24107142857143, 93.39285714285714, 92.1875, 92.5, 93.125, 93.03571428571429, 93.66071428571429, 92.09821428571429, 93.52678571428571, 93.48214285714286, 92.99107142857143, 94.375]
Test: [78.75, 80.89285714285714, 82.32142857142857, 82.5, 81.42857142857143, 83.21428571428572, 82.5, 85.0, 85.71428571428571, 85.0, 84.28571428571429, 84.46428571428571, 85.17857142857143, 84.64285714285714, 86.07142857142858, 85.89285714285714, 85.35714285714285, 85.53571428571428, 83.57142857142857, 85.0, 85.17857142857143, 85.71428571428571, 86.25, 85.89285714285714, 84.82142857142857, 85.89285714285714, 85.53571428571428, 85.35714285714285, 84.82142857142857, 85.53571428571428, 85.53571428571428, 85.0, 85.71428571428571, 85.53571428571428, 84.64285714285714, 85.17857142857143, 84.10714285714286, 86.07142857142858, 85.17857142857143, 85.0, 85.35714285714285, 85.53571428571428, 85.35714285714285, 85.0, 84.10714285714286, 85.17857142857143, 85.53571428571428, 84.28571428571429, 85.17857142857143, 84.46428571428571]
