/Users/katebokhan/anaconda3/envs/6.86x/bin/python /Users/katebokhan/Desktop/wb_nn_project/CNNmodels/Resnet18/task/transfer_learning_resnet_from_0.py
/Users/katebokhan/anaconda3/envs/6.86x/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/Users/katebokhan/anaconda3/envs/6.86x/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
Using mps device
Training - Epoch 1/100, Loss: 2.8706, Accuracy: 40.9375%
Testing - Epoch 1/100, Loss: 0.9961, Accuracy: 68.3929%
Training - Epoch 2/100, Loss: 0.9454, Accuracy: 70.6696%
Testing - Epoch 2/100, Loss: 0.8759, Accuracy: 71.9643%
Training - Epoch 3/100, Loss: 0.7165, Accuracy: 76.4286%
Testing - Epoch 3/100, Loss: 0.6869, Accuracy: 76.6071%
Training - Epoch 4/100, Loss: 0.5991, Accuracy: 79.2857%
Testing - Epoch 4/100, Loss: 0.6044, Accuracy: 79.2857%
Training - Epoch 5/100, Loss: 0.5276, Accuracy: 80.5804%
Testing - Epoch 5/100, Loss: 0.5610, Accuracy: 80.7143%
Training - Epoch 6/100, Loss: 0.4888, Accuracy: 81.9196%
Testing - Epoch 6/100, Loss: 0.5380, Accuracy: 82.3214%
Training - Epoch 7/100, Loss: 0.4718, Accuracy: 82.7232%
Testing - Epoch 7/100, Loss: 0.6148, Accuracy: 80.5357%
Training - Epoch 8/100, Loss: 0.4216, Accuracy: 83.9286%
Testing - Epoch 8/100, Loss: 0.5174, Accuracy: 80.7143%
Training - Epoch 9/100, Loss: 0.3969, Accuracy: 85.0893%
Testing - Epoch 9/100, Loss: 0.5027, Accuracy: 81.7857%
Training - Epoch 10/100, Loss: 0.3651, Accuracy: 86.5625%
Testing - Epoch 10/100, Loss: 0.5004, Accuracy: 83.2143%
Training - Epoch 11/100, Loss: 0.3922, Accuracy: 86.0714%
Testing - Epoch 11/100, Loss: 0.5254, Accuracy: 82.5000%
Training - Epoch 12/100, Loss: 0.3624, Accuracy: 85.6696%
Testing - Epoch 12/100, Loss: 0.4767, Accuracy: 82.6786%
Training - Epoch 13/100, Loss: 0.3564, Accuracy: 86.9643%
Testing - Epoch 13/100, Loss: 0.5072, Accuracy: 82.5000%
Training - Epoch 14/100, Loss: 0.3343, Accuracy: 87.5893%
Testing - Epoch 14/100, Loss: 0.4758, Accuracy: 85.0000%
Training - Epoch 15/100, Loss: 0.2770, Accuracy: 90.4018%
Testing - Epoch 15/100, Loss: 0.4159, Accuracy: 85.1786%
Training - Epoch 16/100, Loss: 0.3188, Accuracy: 87.9018%
Testing - Epoch 16/100, Loss: 0.4565, Accuracy: 84.4643%
Training - Epoch 17/100, Loss: 0.2981, Accuracy: 89.1964%
Testing - Epoch 17/100, Loss: 0.4803, Accuracy: 84.2857%
Training - Epoch 18/100, Loss: 0.2558, Accuracy: 90.2232%
Testing - Epoch 18/100, Loss: 0.4587, Accuracy: 85.1786%
Training - Epoch 19/100, Loss: 0.2555, Accuracy: 90.0893%
Testing - Epoch 19/100, Loss: 0.3883, Accuracy: 86.0714%
Training - Epoch 20/100, Loss: 0.2604, Accuracy: 90.1339%
Testing - Epoch 20/100, Loss: 0.4148, Accuracy: 85.8929%
Training - Epoch 21/100, Loss: 0.2319, Accuracy: 91.2946%
Testing - Epoch 21/100, Loss: 0.3898, Accuracy: 85.8929%
Training - Epoch 22/100, Loss: 0.2409, Accuracy: 91.5625%
Testing - Epoch 22/100, Loss: 0.3913, Accuracy: 86.2500%
Training - Epoch 23/100, Loss: 0.2231, Accuracy: 91.6518%
Testing - Epoch 23/100, Loss: 0.3882, Accuracy: 85.5357%
Training - Epoch 24/100, Loss: 0.2256, Accuracy: 92.1429%
Testing - Epoch 24/100, Loss: 0.3725, Accuracy: 87.8571%
Training - Epoch 25/100, Loss: 0.2058, Accuracy: 92.9911%
Testing - Epoch 25/100, Loss: 0.4199, Accuracy: 85.3571%
Training - Epoch 26/100, Loss: 0.2201, Accuracy: 91.7411%
Testing - Epoch 26/100, Loss: 0.4772, Accuracy: 85.1786%
Training - Epoch 27/100, Loss: 0.2074, Accuracy: 92.0089%
Testing - Epoch 27/100, Loss: 0.3910, Accuracy: 86.9643%
Training - Epoch 28/100, Loss: 0.1934, Accuracy: 92.8125%
Testing - Epoch 28/100, Loss: 0.3606, Accuracy: 87.8571%
Training - Epoch 29/100, Loss: 0.1837, Accuracy: 93.2589%
Testing - Epoch 29/100, Loss: 0.3720, Accuracy: 87.8571%
Training - Epoch 30/100, Loss: 0.1959, Accuracy: 93.4375%
Testing - Epoch 30/100, Loss: 0.3662, Accuracy: 88.0357%
Training - Epoch 31/100, Loss: 0.1909, Accuracy: 93.6161%
Testing - Epoch 31/100, Loss: 0.3605, Accuracy: 88.0357%
Training - Epoch 32/100, Loss: 0.1781, Accuracy: 93.7054%
Testing - Epoch 32/100, Loss: 0.3739, Accuracy: 87.3214%
Training - Epoch 33/100, Loss: 0.1802, Accuracy: 94.0625%
Testing - Epoch 33/100, Loss: 0.3875, Accuracy: 86.9643%
Training - Epoch 34/100, Loss: 0.1693, Accuracy: 94.2411%
Testing - Epoch 34/100, Loss: 0.3627, Accuracy: 87.3214%
Training - Epoch 35/100, Loss: 0.1592, Accuracy: 94.3750%
Testing - Epoch 35/100, Loss: 0.3746, Accuracy: 87.6786%
Training - Epoch 36/100, Loss: 0.1609, Accuracy: 94.3750%
Testing - Epoch 36/100, Loss: 0.3910, Accuracy: 87.5000%
Training - Epoch 37/100, Loss: 0.1487, Accuracy: 94.6875%
Testing - Epoch 37/100, Loss: 0.3791, Accuracy: 86.7857%
Training - Epoch 38/100, Loss: 0.1692, Accuracy: 93.6607%
Testing - Epoch 38/100, Loss: 0.4102, Accuracy: 87.3214%
Training - Epoch 39/100, Loss: 0.1456, Accuracy: 94.4643%
Testing - Epoch 39/100, Loss: 0.4626, Accuracy: 86.4286%
Training - Epoch 40/100, Loss: 0.1495, Accuracy: 95.0893%
Testing - Epoch 40/100, Loss: 0.3892, Accuracy: 87.5000%
Training - Epoch 41/100, Loss: 0.1311, Accuracy: 95.4911%
Testing - Epoch 41/100, Loss: 0.3691, Accuracy: 88.5714%
Training - Epoch 42/100, Loss: 0.1323, Accuracy: 95.7143%
Testing - Epoch 42/100, Loss: 0.3724, Accuracy: 87.6786%
Training - Epoch 43/100, Loss: 0.1265, Accuracy: 95.9821%
Testing - Epoch 43/100, Loss: 0.3574, Accuracy: 87.3214%
Training - Epoch 44/100, Loss: 0.1130, Accuracy: 96.4286%
Testing - Epoch 44/100, Loss: 0.4334, Accuracy: 87.3214%
Training - Epoch 45/100, Loss: 0.1321, Accuracy: 95.4464%
Testing - Epoch 45/100, Loss: 0.3570, Accuracy: 88.3929%
Training - Epoch 46/100, Loss: 0.1194, Accuracy: 96.4286%
Testing - Epoch 46/100, Loss: 0.3522, Accuracy: 87.6786%
Training - Epoch 47/100, Loss: 0.1260, Accuracy: 95.6250%
Testing - Epoch 47/100, Loss: 0.3624, Accuracy: 89.4643%
Training - Epoch 48/100, Loss: 0.1297, Accuracy: 95.6696%
Testing - Epoch 48/100, Loss: 0.3662, Accuracy: 88.5714%
Training - Epoch 49/100, Loss: 0.1199, Accuracy: 95.8929%
Testing - Epoch 49/100, Loss: 0.3877, Accuracy: 88.0357%
Training - Epoch 50/100, Loss: 0.1224, Accuracy: 95.5804%
Testing - Epoch 50/100, Loss: 0.3610, Accuracy: 89.1071%
Training - Epoch 51/100, Loss: 0.1198, Accuracy: 95.8482%
Testing - Epoch 51/100, Loss: 0.3567, Accuracy: 88.3929%
Training - Epoch 52/100, Loss: 0.1027, Accuracy: 96.3393%
Testing - Epoch 52/100, Loss: 0.3819, Accuracy: 87.1429%
Training - Epoch 53/100, Loss: 0.1178, Accuracy: 95.8929%
Testing - Epoch 53/100, Loss: 0.4018, Accuracy: 88.3929%
Training - Epoch 54/100, Loss: 0.0937, Accuracy: 96.9643%
Testing - Epoch 54/100, Loss: 0.3381, Accuracy: 90.1786%
Training - Epoch 55/100, Loss: 0.1077, Accuracy: 96.2054%
Testing - Epoch 55/100, Loss: 0.3563, Accuracy: 89.4643%
Training - Epoch 56/100, Loss: 0.0939, Accuracy: 97.1875%
Testing - Epoch 56/100, Loss: 0.3797, Accuracy: 90.0000%
Training - Epoch 57/100, Loss: 0.1056, Accuracy: 96.7411%
Testing - Epoch 57/100, Loss: 0.3434, Accuracy: 90.0000%
Training - Epoch 58/100, Loss: 0.0803, Accuracy: 97.5893%
Testing - Epoch 58/100, Loss: 0.3535, Accuracy: 89.6429%
Training - Epoch 59/100, Loss: 0.1016, Accuracy: 96.6518%
Testing - Epoch 59/100, Loss: 0.3455, Accuracy: 89.8214%
Training - Epoch 60/100, Loss: 0.0762, Accuracy: 97.8571%
Testing - Epoch 60/100, Loss: 0.3513, Accuracy: 2
Training - Epoch 61/100, Loss: 0.0833, Accuracy: 97.7679%
Testing - Epoch 61/100, Loss: 0.3626, Accuracy: 88.9286%
Training - Epoch 62/100, Loss: 0.0921, Accuracy: 97.0536%
Testing - Epoch 62/100, Loss: 0.3470, Accuracy: 88.5714%
Training - Epoch 63/100, Loss: 0.0758, Accuracy: 97.9911%
Testing - Epoch 63/100, Loss: 0.3741, Accuracy: 89.4643%
Training - Epoch 64/100, Loss: 0.0767, Accuracy: 97.8571%
Testing - Epoch 64/100, Loss: 0.3490, Accuracy: 90.3571%
Training - Epoch 65/100, Loss: 0.0842, Accuracy: 97.1429%
Testing - Epoch 65/100, Loss: 0.3513, Accuracy: 90.1786%
Training - Epoch 66/100, Loss: 0.0738, Accuracy: 97.9464%
Testing - Epoch 66/100, Loss: 0.3510, Accuracy: 89.2857%
Training - Epoch 67/100, Loss: 0.0664, Accuracy: 98.2589%
Testing - Epoch 67/100, Loss: 0.4173, Accuracy: 87.8571%
Training - Epoch 68/100, Loss: 0.0906, Accuracy: 97.3214%
Testing - Epoch 68/100, Loss: 0.3506, Accuracy: 89.2857%
Training - Epoch 69/100, Loss: 0.0772, Accuracy: 97.6786%
Testing - Epoch 69/100, Loss: 0.3637, Accuracy: 89.8214%
Training - Epoch 70/100, Loss: 0.0770, Accuracy: 97.6786%
Testing - Epoch 70/100, Loss: 0.3480, Accuracy: 90.3571%
Training - Epoch 71/100, Loss: 0.0735, Accuracy: 97.9464%
Testing - Epoch 71/100, Loss: 0.3549, Accuracy: 89.4643%
Training - Epoch 72/100, Loss: 0.0657, Accuracy: 98.0804%
Testing - Epoch 72/100, Loss: 0.3480, Accuracy: 90.5357%
Training - Epoch 73/100, Loss: 0.0819, Accuracy: 97.5000%
Testing - Epoch 73/100, Loss: 0.3579, Accuracy: 89.4643%
Training - Epoch 74/100, Loss: 0.0698, Accuracy: 97.8125%
Testing - Epoch 74/100, Loss: 0.3927, Accuracy: 89.8214%
Training - Epoch 75/100, Loss: 0.0683, Accuracy: 97.9464%
Testing - Epoch 75/100, Loss: 0.3760, Accuracy: 89.6429%
Training - Epoch 76/100, Loss: 0.0595, Accuracy: 98.3482%
Testing - Epoch 76/100, Loss: 0.3697, Accuracy: 90.1786%
Training - Epoch 77/100, Loss: 0.0780, Accuracy: 97.5893%
Testing - Epoch 77/100, Loss: 0.3758, Accuracy: 89.6429%
Training - Epoch 78/100, Loss: 0.0712, Accuracy: 97.6786%
Testing - Epoch 78/100, Loss: 0.3492, Accuracy: 90.1786%
Training - Epoch 79/100, Loss: 0.0615, Accuracy: 98.2589%
Testing - Epoch 79/100, Loss: 0.3594, Accuracy: 89.8214%
Training - Epoch 80/100, Loss: 0.0701, Accuracy: 97.9911%
Testing - Epoch 80/100, Loss: 0.3550, Accuracy: 90.3571%
Training - Epoch 81/100, Loss: 0.0543, Accuracy: 98.5268%
Testing - Epoch 81/100, Loss: 0.3528, Accuracy: 91.0714%
Training - Epoch 82/100, Loss: 0.0641, Accuracy: 98.0357%
Testing - Epoch 82/100, Loss: 0.3485, Accuracy: 90.0000%
Training - Epoch 83/100, Loss: 0.0601, Accuracy: 98.1250%
